epoch,lr,tr_loss,va_loss,tr_dice,va_dice,tr_iou,va_iou,tr_prec,va_prec,tr_rec,va_rec,tr_acc,va_acc,tr_kappa,va_kappa
1,0.0001,0.7269090553988581,0.5882096085055121,0.3859,0.5845,0.2391,0.4129,0.2455,0.4142,0.9013,0.9922,0.6661,0.8275,0.2484,0.4978
2,7.525e-05,0.6825155061224233,0.573023593631284,0.4606,0.5979,0.2992,0.4265,0.3169,0.4283,0.8423,0.9903,0.7721,0.8372,0.3518,0.5152
3,2.5750000000000013e-05,0.6479869619659756,0.5742242233506565,0.4972,0.598,0.3309,0.4266,0.3474,0.4277,0.8742,0.994,0.7961,0.8366,0.3979,0.5151
